PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,540 Francis St SW,Birmingham,AL,35211,99900,3,2,1225,1925
Single Family Residential,3340 Hillcrest Ave,Birmingham,AL,35224,79995,4,2,1845,1951
Single Family Residential,1241 Hanover St,Birmingham,AL,35217,39000,3,1,1402,1930
Single Family Residential,1630 2nd Ave W,Birmingham,AL,35208,21200,2,1,928,1948
Single Family Residential,5132 Crossings Pkwy,Hoover,AL,35242,620000,5,3.5,3126,2006
Condo/Co-op,2900 Redmont Park Cir Unit 301W,Birmingham,AL,35205,524900,2,2,1604,1990
Single Family Residential,216 59th Way,Birmingham,AL,35212,110000,3,1,1260,1930
Single Family Residential,429 14th Ave NW,Center Point,AL,35215,185000,3,1.5,1380,1964
Single Family Residential,6217 Eagle Point Cir,Birmingham,AL,35242,475000,4,3,3035,1998
Single Family Residential,420 Grant St,Midfield,AL,35228,180000,3,2,1780,1953
Single Family Residential,507 Smithfield Ter W,Dolomite,AL,35061,170000,3,2,1536,1980
Single Family Residential,1310 SW Steiner Ave,Birmingham,AL,35211,45000,3,2,1544,1930
Single Family Residential,813 Hickory Dr,Birmingham,AL,35215,169000,3,2,1569,1960
Single Family Residential,7845 8th Ave S,Birmingham,AL,35206,150000,2,1,1090,1947
Single Family Residential,959 N 1st Short St,Birmingham,AL,35204,19900,2,1,810,1935
Single Family Residential,6901 66th St S,Birmingham,AL,35212,149900,2,2,1387,1963
Single Family Residential,1033 50th Pl S,Birmingham,AL,35222,399000,3,2,1446,1956
Single Family Residential,1297 Greystone Parc Dr,Hoover,AL,35242,695000,5,3.5,3479,2005
Condo/Co-op,111 Sterling Oaks Dr #111,Hoover,AL,35244,182500,2,1,981,2005
Single Family Residential,5756 N 34th St,Birmingham,AL,35207,130000,3,1,910,1956
Single Family Residential,4657 Silas Ave,Hoover,AL,35244,645000,4,3,3056,2023
Single Family Residential,2278 Abbeyglen Cir,Hoover,AL,35226,389900,4,2,1868,2006
Single Family Residential,2241 6th St,Center Point,AL,35215,169900,3,2,1564,1970
Condo/Co-op,2020 5th Ave S #445,Birmingham,AL,35223,219000,1,1,740,2007
Single Family Residential,8309 4th Ave S,Birmingham,AL,35206,149900,3,1,1476,1930
Single Family Residential,8901 Valleybrook Rd,Birmingham,AL,35206,220000,4,3,2662,1959
Single Family Residential,612 NW 26th Ave,Birmingham,AL,35215,134000,3,1,1055,1961
Single Family Residential,1009 Bridgewater Park Dr,Hoover,AL,35244,499900,4,3.5,3047,2011
Single Family Residential,1528 8th Ct W,Birmingham,AL,35208,120000,2,1,2258,1950
Single Family Residential,2413 Pentland Dr,Birmingham,AL,35235,195000,3,2,1039,1982
Single Family Residential,817 1st St SW,Birmingham,AL,35211,289000,4,2,2048,1928
Single Family Residential,2312 NW 6th St,Birmingham,AL,35215,249900,5,3,2042,1971
Single Family Residential,3405 Crosshill Rd,Mountain Brook,AL,35223,789900,5,5.5,5720,1984
Single Family Residential,1505 5th Pl NW,Birmingham,AL,35215,143000,2,1,1055,1956
Single Family Residential,424 86th Pl S,Birmingham,AL,35206,69900,2,1,840,1949
Single Family Residential,145 Ashford Cir,Birmingham,AL,35242,689000,5,3.5,3781,2005
