PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Multi-Family (2-4 Unit),259-261 Emerson St,Boston,MA,2127,1400000,4,2,1945,1945
Condo/Co-op,18 Custer St #1,Boston,MA,2130,569000,2,1,763,1905
Single Family Residential,1 Grew Ave,Boston,MA,2131,950000,3,3,3049,1958
Single Family Residential,9 Whittemore St,Boston,MA,2132,1650000,6,2.5,2809,1898
Condo/Co-op,67 Revere St #2,Boston,MA,2114,2175000,3,2.5,1507,1890
Condo/Co-op,32 Fairfield St Unit 1 & 2,Boston,MA,2116,2500000,2,2,1550,1875
Multi-Family (2-4 Unit),825 Dorchester Ave,Boston,MA,2125,2350000,12,4.5,4406,1930
Condo/Co-op,66 Wordsworth St #3,Boston,MA,2128,559000,1,1,680,2022
Condo/Co-op,135 Seaport Blvd #1203,Boston,MA,2210,1450000,1,1,855,2020
Multi-Family (2-4 Unit),133 Selden St,Boston,MA,2124,1000000,6,3,3414,1905
Multi-Family (5+ Unit),23 Harris St,Boston,MA,2109,2600000,6,6,2400,1899
Condo/Co-op,110 Stuart St Ph 3,Boston,MA,2116,4450000,3,3.5,2574,2009
Condo/Co-op,1645 Commonwealth Ave #18,Boston,MA,2135,520000,3,1,851,1930
Single Family Residential,41 Cedar St,Boston,MA,2126,425000,3,1,1052,1920
Condo/Co-op,1 Charles St S #1605,Boston,MA,2116,1685000,2,1.5,1100,2004
Single Family Residential,14 Claremont Park,Boston,MA,2118,3850000,8,4,4827,1860
Townhouse,53 Constellation Wharf #53,Boston,MA,2129,1225000,2,2.5,1902,1987
Condo/Co-op,199 Coolidge Ave #204,Watertown,MA,2472,799000,2,2,1628,1986
Condo/Co-op,9 Columbus Sq #1,Boston,MA,2118,2495000,3,2.5,1945,1869
Townhouse,6 Constellation Wharf #6,Boston,MA,2129,1759000,3,3.5,2492,1987
Condo/Co-op,73 Sheridan St Unit A1,Boston,MA,2130,729000,1,1,885,2023
Condo/Co-op,19-23 Clapp St #1,Boston,MA,2125,739000,2,2,1248,2023
Condo/Co-op,99 Sumner #221,Boston,MA,2128,1249000,2,2,1225,2021
Condo/Co-op,94 Beacon St #4,Boston,MA,2108,3495000,2,2,1439,1850
Multi-Family (2-4 Unit),155R Princeton St,Boston,MA,2128,800000,7,8,5060,2024
Single Family Residential,110 D St,Boston,MA,2127,949000,3,2.5,2234,1905
Townhouse,127 Bolton St Unit TH,Boston,MA,2127,2099000,4,3.5,2332,2023
Multi-Family (2-4 Unit),119 Magnoila St,Boston,MA,2125,1169000,9,3,4371,1905
Condo/Co-op,566 Commonwealth #906,Boston,MA,2215,875000,3,2,1257,1968
Condo/Co-op,65 Lewis St #409,Boston,MA,2128,799000,1,1,747,2019
Condo/Co-op,73 Sheridan Unit C-1,Boston,MA,2130,998000,3,2,1250,2023
Multi-Family (2-4 Unit),74-76 Eliot St,Milton,MA,2186,1558900,5,2.5,3009,1898
Condo/Co-op,76 Eliot #1,Milton,MA,2186,729900,2,1,1172,1898
Condo/Co-op,74 Eliot #2,Milton,MA,2186,849000,3,1.5,1675,1898
Condo/Co-op,75 Tower St #1,Boston,MA,2130,720000,3,2,1090,1900
Multi-Family (2-4 Unit),123 Saratoga St,Boston,MA,2128,1140000,3,2.5,1778,1880
Condo/Co-op,51 Walkhill St Unit A3,Boston,MA,2130,685000,2,2,1065,1910
Condo/Co-op,211 East Eagle #6,Boston,MA,2128,799000,2,2,1357,2023
Condo/Co-op,567 Park St #1,Boston,MA,2124,650000,2,2,1100,1978
Multi-Family (2-4 Unit),51 Shepton St,Boston,MA,2124,1069990,9,3,2815,1920
Single Family Residential,112 Washington St,Boston,MA,2136,895000,5,3,3131,1880
Single Family Residential,257A Emerson St,Boston,MA,2127,1149000,3,2.5,1860,1890
Single Family Residential,75 Huntington Rd,Newton,MA,2458,3495000,7,5,6039,1995
Townhouse,78-106 Liverpool St #80,Boston,MA,2128,899000,3,2.5,1705,2017
Condo/Co-op,45 1st Ave #211,Boston,MA,2129,645000,2,1,849,2015
Single Family Residential,80 Liverpool St,Boston,MA,2128,899000,3,2.5,1583,2017
Multi-Family (2-4 Unit),22 Alaska St,Boston,MA,2119,1400000,6,2,3018,1900
Condo/Co-op,182 Sydney #3,Boston,MA,2125,989000,3,2,1492,2023
Condo/Co-op,240 Devonshire St Ph 1E,Boston,MA,2110,7400000,3,3.5,2690,2023
Multi-Family (2-4 Unit),117 Park St,Boston,MA,2122,1200000,9,3,2991,1905
Single Family Residential,59 G St,Boston,MA,2127,1100000,4,2.5,2010,1890
Single Family Residential,7 Larch Pl,Boston,MA,2131,615000,4,1.5,1416,1900
Condo/Co-op,133 Boardman St #1,Boston,MA,2128,585000,1,1,928,2023
Condo/Co-op,133 Boardman St Ph 7,Boston,MA,2128,779900,2,2,1117,2023
Condo/Co-op,983 Memorial #502,Cambridge,MA,2138,1899000,3,2,1535,1916
Multi-Family (2-4 Unit),195-197 I St,Boston,MA,2127,1399000,5,2,2750,1900
Condo/Co-op,14 West Broadway #607,Boston,MA,2127,1250000,2,2,1247,2018
Condo/Co-op,51 Walkhill St Unit A1,Boston,MA,2130,697000,2,2,1050,1910
Condo/Co-op,514 Poplar St #1,Boston,MA,2131,749000,3,2,1420,2023
Condo/Co-op,82 Endicott #1,Boston,MA,2113,1250000,3,3,1480,2023
Single Family Residential,367 Savin Hill Ave,Boston,MA,2125,1360000,4,3.5,2322,2003
Condo/Co-op,136 Beacon St #9,Boston,MA,2116,3600000,3,2.5,2210,1870
Condo/Co-op,1 Charles St S Unit 7B,Boston,MA,2116,2195000,2,2,1480,2004
Single Family Residential,27 Gordon St,Boston,MA,2134,899000,5,2,1683,1885
Condo/Co-op,301 Border #204,Boston,MA,2128,849900,3,2.5,1415,2023
Condo/Co-op,290 Beacon St #1,Boston,MA,2116,1100000,2,1.5,871,2022
Single Family Residential,17 Marlboro St #17,Newton,MA,2458,2100000,5,4.5,3600,2023
Condo/Co-op,1 Dalton #3506,Boston,MA,2115,2280000,1,1.5,897,2019
Condo/Co-op,335 Hyde Park Ave #2,Boston,MA,2130,570000,2,2,1000,1910
Single Family Residential,7 Delford St,Boston,MA,2131,505000,3,1.5,1020,1988
Condo/Co-op,30 Copeland St Unit A,Boston,MA,2119,685000,3,2.5,1416,1890
Condo/Co-op,234 Causeway St #908,Boston,MA,2114,1199000,2,2,1374,2003
Single Family Residential,61 Leonard St,Boston,MA,2122,550000,2,2,1322,1900
Single Family Residential,86 Thornton St,Boston,MA,2119,1100000,5,3.5,3382,1890
Single Family Residential,22 Vfw Pkwy,Boston,MA,2132,1395000,5,3,3805,1960
Condo/Co-op,188 Brookline Ave Unit 23H,Boston,MA,2215,1675000,1,1,815,2018
Townhouse,130 Arlington St #130,Boston,MA,2116,2350000,3,2.5,1793,2023
Condo/Co-op,132 W 9th St #3,Boston,MA,2127,1075000,2,2,1333,2023
Condo/Co-op,85 East India Row Unit 19H,Boston,MA,2110,849000,1,1,876,1970
Condo/Co-op,57 Broadlawn Park #10,Boston,MA,2467,475500,2,2,1100,1964
Townhouse,8 Kemble Pl Unit A,Boston,MA,2127,1749000,3,3.5,2602,2022
Single Family Residential,8 Kemble Pl,Boston,MA,2127,1749000,3,3.5,2602,2022
Condo/Co-op,1 Franklin St #3709,Boston,MA,2110,1495000,1,1,821,2016
Multi-Family (2-4 Unit),352 E 8th St,Boston,MA,2127,1300000,3,3,1636,1890
Townhouse,22 W Main St #22,Boston,MA,2126,569000,3,1.5,1315,2018
Condo/Co-op,44 W Eagle St #1,Boston,MA,2128,560000,2,2,722,1920
Condo/Co-op,357 Beacon St #3,Boston,MA,2116,1599000,1,1.5,995,1886
Condo/Co-op,34 Hancock St #8,Boston,MA,2114,1695000,2,2,1100,1970
Condo/Co-op,410 W Broadway #203,Boston,MA,2127,954900,3,2,1147,2019
Multi-Family (2-4 Unit),381 Grove St,Boston,MA,2132,900000,6,3,2983,1900
Multi-Family (2-4 Unit),498 Beech St,Boston,MA,2131,999997,6,2,1968,1920
Multi-Family (5+ Unit),7 Washington St,Somerville,MA,2143,1900000,17,12,10537,2023
Condo/Co-op,20 Chapel St Unit B801,Brookline,MA,2446,799000,1,1,764,1920
Multi-Family (5+ Unit),116 Wales St,Boston,MA,2124,2100000,15,1,5760,1965
Condo/Co-op,234 Causeway St #907,Boston,MA,2114,1325000,2,2,1454,1998
Single Family Residential,13008 Jewel Ct,Silver Spring,MD,20904,989000,5,4.5,5822,2020
Townhouse,1603 Regent Manor Ct,Silver Spring,MD,20904,625000,3,3.5,2271,2017
Condo/Co-op,15115 Interlachen Dr Unit 3-724,Silver Spring,MD,20906,229000,2,2,1195,1984
Single Family Residential,309 Cloverly Forest Dr,Silver Spring,MD,20905,1100000,5,4.5,4493,2017
Condo/Co-op,2362 Sun Valley Cir Unit 2-EYE,Silver Spring,MD,20906,275000,2,2,1047,1971
Townhouse,9053 Ottawa Pl,Silver Spring,MD,20910,725000,4,3.5,2392,1981
Condo/Co-op,1220 Blair Mill Rd #203,Silver Spring,MD,20910,239000,1,1,820,1968
Condo/Co-op,1320 Fenwick Ln #402,Silver Spring,MD,20910,389900,2,2,850,1964
Townhouse,3468 Gleneagles Dr Unit 79-A,Silver Spring,MD,20906,224900,2,2,1600,1967
Single Family Residential,326 Flannery Ln,Silver Spring,MD,20904,839000,4,3.5,4461,1995
Single Family Residential,12411 Buckley Dr,Silver Spring,MD,20904,599999,4,2.5,2976,1962
Single Family Residential,13016 Gershwin Way,Silver Spring,MD,20904,599000,4,2.5,1852,1985
Single Family Residential,720 Maplewood Ave,Takoma Park,MD,20912,1365000,6,4,3773,2023
Condo/Co-op,3310 N Leisure World Blvd #117,Silver Spring,MD,20906,237000,2,2,1115,1991
Condo/Co-op,3425 S Leisure World Blvd Unit 89-1C,Silver Spring,MD,20906,115000,1,1,990,1967
Single Family Residential,1700 Overlook Dr,Silver Spring,MD,20903,724250,3,3,2171,1941
Single Family Residential,12500 Meadowood Dr,Silver Spring,MD,20904,535500,3,3,1694,1955
Condo/Co-op,930 Wayne Ave #1002,Silver Spring,MD,20910,335000,1,1,753,2006
Single Family Residential,1337 Winding Waye Ln,Silver Spring,MD,20902,629000,4,3,2984,1969
Condo/Co-op,2904 N Leisure World Blvd #402,Silver Spring,MD,20906,249000,2,2,1334,1997
Single Family Residential,3916 Ilford Rd,Silver Spring,MD,20906,585000,5,3.5,1795,1961
Single Family Residential,108 Old Bonifant Rd,Silver Spring,MD,20905,599900,3,2,1762,1950
Condo/Co-op,2404 Colston Dr #103,Silver Spring,MD,20910,310000,2,1,849,1948
Condo/Co-op,3310 N Leisure World Blvd #1025,Silver Spring,MD,20906,235000,2,2,1115,1991
Single Family Residential,12800 Jingle Ln,Silver Spring,MD,20906,595000,4,2.5,2547,1960
Townhouse,15629 Trolley Ln,Silver Spring,MD,20906,600000,3,3,1911,2021
Condo/Co-op,614 Sligo Ave #209,Silver Spring,MD,20910,230000,2,1,978,1966
Single Family Residential,14916 Flintstone Ln,Silver Spring,MD,20905,740000,4,3.5,3189,1969
Townhouse,13924 Valleyfield Dr,Silver Spring,MD,20906,374888,3,2.5,1518,1984
Condo/Co-op,12001 Old Columbia Pike #506,Silver Spring,MD,20904,225000,2,2,1068,1975
Single Family Residential,13015 Morningside Ln,Silver Spring,MD,20904,625000,5,3,2479,1968
Single Family Residential,8804 1st Ave,Silver Spring,MD,20910,699900,3,2.5,1578,1939
Townhouse,3813 Chesterwood Dr #3813,Silver Spring,MD,20906,350000,3,2.5,1498,1983
Single Family Residential,2424 Forest Glen Rd,Silver Spring,MD,20910,1450000,6,5.5,5260,2023
Single Family Residential,10318 Crestmoor Dr,Silver Spring,MD,20901,740000,4,1.5,1710,1950
Townhouse,13160 Musicmaster Dr #146,Silver Spring,MD,20904,345000,3,2.5,1280,1984
Single Family Residential,11813 Goodloe Rd,Silver Spring,MD,20906,475000,3,2,1148,1946
Townhouse,13248 Copland Ct,Silver Spring,MD,20904,415000,4,3.5,1708,1986
Condo/Co-op,14809 Pennfield Cir #304,Silver Spring,MD,20906,349000,2,2,1510,1996
Condo/Co-op,14200 Wolf Creek Pl Unit 11-25,Silver Spring,MD,20906,290000,3,2,1052,1993
Condo/Co-op,7915 Eastern Ave #610,Silver Spring,MD,20910,400000,2,2,1062,1965
Single Family Residential,2614 Belle Crest Ln,Silver Spring,MD,20906,699990,4,2.5,1976,1985
Single Family Residential,12812 Holdridge Rd,Silver Spring,MD,20906,425000,4,2,2032,1949
Single Family Residential,2601 Ross Rd,Chevy Chase,MD,20815,830000,4,3,1860,1949
Condo/Co-op,3330 N Leisure World Blvd Unit 5-803,Silver Spring,MD,20906,165000,1,1,850,1989
Condo/Co-op,2225 Washington Ave #202,Silver Spring,MD,20910,395000,3,2,1200,1948
Single Family Residential,1606 Lansdowne Way,Silver Spring,MD,20910,599900,3,2.5,1674,1955
Condo/Co-op,15101 Glade Dr Unit 10-3G,Silver Spring,MD,20906,250000,3,2,1415,1977
Single Family Residential,3702 Munsey St,Silver Spring,MD,20906,550000,4,2,2680,1956
Condo/Co-op,3600 Gleneagles Dr Unit 7-2D,Silver Spring,MD,20906,124500,2,1,1035,1967
Single Family Residential,13308 Dauphine St,Silver Spring,MD,20906,430000,3,3,1769,1956
Townhouse,15157 Deer Valley Ter,Silver Spring,MD,20906,475000,3,2.5,2160,1996
Single Family Residential,9918 Lorain Ave,Silver Spring,MD,20901,539900,4,2,1370,1955
Townhouse,9048 Saffron Ln,Silver Spring,MD,20901,509000,3,3.5,1860,1986
Single Family Residential,5 Broomall Ct,Silver Spring,MD,20906,639990,4,2.5,2228,1971
Single Family Residential,1728 Hutchinson Ln,Silver Spring,MD,20906,775000,5,2.5,3160,1987
Single Family Residential,1704 Colesberg St,Silver Spring,MD,20905,600000,4,2.5,2544,1972
Single Family Residential,2416 Homestead Dr,Silver Spring,MD,20902,200000,3,1.5,1066,1951
Single Family Residential,1300 Xaveria Dr,Silver Spring,MD,20903,532000,4,3,1921,1959
Townhouse,11507 Sutherland Hill Way,Silver Spring,MD,20904,549900,4,3.5,1440,2002
Single Family Residential,11613 College View Dr,Silver Spring,MD,20902,299999,3,3,1775,1950
Townhouse,113 Finale Ter,Silver Spring,MD,20901,549900,3,2.5,1554,1984
Single Family Residential,1847 Middlebridge Dr,Silver Spring,MD,20906,1495000,6,6,3317,1880
Condo/Co-op,3100 N Leisure World Blvd #525,Silver Spring,MD,20906,380000,2,2,1325,2004
Single Family Residential,2934 Craiglawn Rd,Silver Spring,MD,20904,550000,4,4,3336,1967
Townhouse,3461 S Leisure World Blvd Unit 83-B,Silver Spring,MD,20906,220000,2,2.5,1600,1967
Single Family Residential,3609 Randolph Rd,Silver Spring,MD,20902,550000,3,2,1883,1952
Condo/Co-op,15310 Beaverbrook Ct Unit 89-2H,Silver Spring,MD,20906,205000,2,2,1043,1979
Single Family Residential,13001 Firestone Ct,Silver Spring,MD,20904,830000,5,3.5,5290,2001
Single Family Residential,4105 Sampson Rd,Silver Spring,MD,20906,585000,3,2,1506,1946
Single Family Residential,2301 Parker Ave,Silver Spring,MD,20902,650000,3,2,2916,1953
Single Family Residential,7515 Alfred Dr,Silver Spring,MD,20910,925000,5,3,3777,1961
Single Family Residential,215 E Franklin Ave,Silver Spring,MD,20901,649000,4,2,1566,1928
Condo/Co-op,3630 Gleneagles Dr Unit 8-3A,Silver Spring,MD,20906,110000,1,1,800,1967
Single Family Residential,10011 Sidney Rd,Silver Spring,MD,20901,399900,3,2,1814,1948
Townhouse,1309 Elm Grove Cir,Silver Spring,MD,20905,390000,2,2,1241,1985
Townhouse,3498 Chiswick Ct Unit 39-D,Silver Spring,MD,20906,192000,2,1.5,1513,1967
Condo/Co-op,2900 N Leisure World Blvd #310,Silver Spring,MD,20906,365000,3,2,1512,1998
Condo/Co-op,15107 Interlachen Dr Unit 2-316,Silver Spring,MD,20906,163000,1,1,860,1984
Condo/Co-op,15101 Interlachen Dr Unit 1-1018,Silver Spring,MD,20906,349000,2,2,1520,1984
Single Family Residential,1010 Downs Dr,Silver Spring,MD,20904,620000,5,2.5,2087,1962
Single Family Residential,106 Geneva Ave,Silver Spring,MD,20910,1689000,5,4.5,4242,2023
Condo/Co-op,3005 S Leisure World Blvd #809,Silver Spring,MD,20906,187500,1,1,885,1999
Condo/Co-op,2107 Walsh View Ter #102,Silver Spring,MD,20902,287000,3,2,1517,1969
Single Family Residential,105 Stonegate Dr,Silver Spring,MD,20905,624900,4,2.5,2198,1971
Condo/Co-op,3500 Forest Edge Dr Unit 15-2F,Silver Spring,MD,20906,187900,1,1.5,946,1977
Condo/Co-op,8601 Manchester Rd #403,Silver Spring,MD,20901,124900,1,1,708,1958
Townhouse,3222 Medway St,Silver Spring,MD,20902,329000,3,2,936,1950
Single Family Residential,4506 Gridley Rd,Silver Spring,MD,20906,525000,3,2,1212,1946
Condo/Co-op,2405 Normandy Square Pl Unit 12 E,Silver Spring,MD,20906,275000,3,2,1043,1988
Single Family Residential,2029 Glen Ross Rd,Silver Spring,MD,20910,949000,4,3.5,2756,1936
Condo/Co-op,2715 Snowbird Ter Unit 5-28,Silver Spring,MD,20906,254900,2,2,861,1993
Condo/Co-op,15015 Haslemere Ct,Silver Spring,MD,20906,425000,3,2,1194,1975
Condo/Co-op,15101 Interlachen Dr Unit 1-612,Silver Spring,MD,20906,285000,2,2,1210,1984
Single Family Residential,9724 Admiralty Dr,Silver Spring,MD,20910,675000,4,3,1879,1955
Single Family Residential,1304 Caddington Ave,Silver Spring,MD,20901,550000,4,2.5,1440,1957
Single Family Residential,2 Memory Ct,Silver Spring,MD,20904,629900,4,2.5,2206,1986
Single Family Residential,11105 Dodson Ln,Silver Spring,MD,20902,599990,3,2,1634,1953
Single Family Residential,10015 Portland Pl,Silver Spring,MD,20901,625000,3,2,2007,1951
Single Family Residential,2121 Edgeware St,Silver Spring,MD,20905,698000,4,3.5,2968,1975
Condo/Co-op,3603 Gleneagles Dr Unit 6-3C,Silver Spring,MD,20906,149900,2,1,986,1969
Single Family Residential,9002 Eton Rd,Silver Spring,MD,20901,729000,3,2,1292,1946
Condo/Co-op,2900 N Leisure World Blvd #215,Silver Spring,MD,20906,310000,2,2,1314,1998
Condo/Co-op,3382 Hewitt Ave #201,Silver Spring,MD,20906,188000,1,1,719,1970
Single Family Residential,717 Pebblestone Ct,Silver Spring,MD,20905,760000,4,3.5,2174,1969
Condo/Co-op,2703 Leaf Drop Ct Unit 8-17,Silver Spring,MD,20906,279900,3,2,1056,1992
Condo/Co-op,15301 Pine Orchard Dr Unit 86-2H,Silver Spring,MD,20906,199000,2,2,1043,1978
Single Family Residential,401 E Shaw Ave,Silver Spring,MD,20904,625000,4,3,2220,1972
Condo/Co-op,9824 Georgia Ave Unit 18-301,Silver Spring,MD,20902,194900,2,1.5,1047,1969
Single Family Residential,14215 Punch St,Silver Spring,MD,20906,1100000,7,5,9324,2005
Single Family Residential,9911 Dilston Rd,Silver Spring,MD,20903,430000,3,2,1617,1950
Condo/Co-op,1201 E West Hwy #112,Silver Spring,MD,20910,525000,2,2,1154,2006
Condo/Co-op,721 Erie Ave Unit 721-2,Takoma Park,MD,20912,185000,1,1,412,1935
Single Family Residential,12118 Livingston St,Silver Spring,MD,20902,580000,5,3.5,1846,1955
Condo/Co-op,3906 Bel Pre Rd Unit 3906-2,Silver Spring,MD,20906,199500,2,2,976,1970
Condo/Co-op,3307 Sir Thomas Dr Unit 5-B-12,Silver Spring,MD,20904,245000,2,2,1043,1991
Single Family Residential,816 Orange Dr,Silver Spring,MD,20901,537000,3,2,1615,1961
Single Family Residential,9315 Weaver St,Silver Spring,MD,20901,714999,5,3,2460,1955
Single Family Residential,2016 Gatewood Pl,Silver Spring,MD,20903,775000,4,2.5,3198,1966
Condo/Co-op,1220 Blair Mill Rd #1208,Silver Spring,MD,20910,279900,1,1,860,1968
Condo/Co-op,7915 Eastern Ave #914,Silver Spring,MD,20910,439900,2,2,1148,1965
Condo/Co-op,2904 N Leisure World Blvd #211,Silver Spring,MD,20906,227500,2,2,1041,1997
Townhouse,10936 Pebble Run Dr,Silver Spring,MD,20902,499999,2,3,1320,1983
Condo/Co-op,8005 13th St #301,Silver Spring,MD,20910,300000,1,1,712,2012
Townhouse,2735 Linden Ln,Silver Spring,MD,20910,775000,3,3.5,2006,2007
Condo/Co-op,3200 N Leisure World Blvd #511,Silver Spring,MD,20906,289900,2,2,1035,2002
Single Family Residential,2504 Weisman Rd,Silver Spring,MD,20902,469000,4,2,1392,1951
Single Family Residential,10115 Grant Ave,Silver Spring,MD,20910,680000,4,4,2262,1950
Single Family Residential,12303 Remington Dr,Silver Spring,MD,20902,1349000,6,4.5,4175,1955
Condo/Co-op,3100 N Leisure World Blvd #527,Silver Spring,MD,20906,369000,2,2,1325,2004
Townhouse,3669 Edelmar Ter Unit 117-A,Silver Spring,MD,20906,425000,3,2,1301,1971
Condo/Co-op,3005 S Leisure World Blvd #106,Silver Spring,MD,20906,224999,2,2,1035,1999
Single Family Residential,914 Playford Ln,Silver Spring,MD,20901,589000,5,2.5,1834,1958
Single Family Residential,1721 Arbor Vw,Silver Spring,MD,20902,899000,5,3.5,3484,1969
Single Family Residential,12240 Veirs Mill Rd,Silver Spring,MD,20906,389000,5,2,1944,1946
Single Family Residential,1213 Sweetbay Pl,Silver Spring,MD,20906,825000,4,3.5,3826,2015
Single Family Residential,12106 Foley St,Silver Spring,MD,20902,424900,2,2,910,1951
Single Family Residential,12211 Remington Dr,Silver Spring,MD,20902,1295000,5,3.5,3589,1951
Single Family Residential,12707 Bushey Dr,Silver Spring,MD,20906,489900,4,2,2002,1954
Condo/Co-op,3005 S Leisure World Blvd #323,Silver Spring,MD,20906,235000,2,2,1032,2000
Single Family Residential,5 Wessex Rd,Silver Spring,MD,20910,925000,3,3,1450,1932
Single Family Residential,3502 Doc Berlin Dr,Silver Spring,MD,20906,939900,5,4.5,3854,2015
Single Family Residential,10017 Brookmoor Dr,Silver Spring,MD,20901,535000,4,3.5,2038,1947
Townhouse,3533 S Leisure World Blvd Unit 26-E,Silver Spring,MD,20906,210000,2,2,1600,1967
Condo/Co-op,3210 N Leisure World Blvd #617,Silver Spring,MD,20906,379000,3,2,1489,2001
Single Family Residential,2304 Darrow St,Silver Spring,MD,20902,545000,3,2,1974,1950
Condo/Co-op,15201 Elkridge Way Unit 93-2J,Silver Spring,MD,20906,200000,2,2,1030,1979
Single Family Residential,9006 Colesville Rd,Silver Spring,MD,20910,1390000,4,4.5,4052,1938
Townhouse,14803 Lindsey Ln Unit 228-A,Silver Spring,MD,20906,469000,3,2,1193,1971
Townhouse,9830 Hollow Glen Pl #2562,Silver Spring,MD,20910,419000,3,1.5,1028,1953
Condo/Co-op,11514 Bucknell Dr #204,Silver Spring,MD,20902,334900,2,2,1584,1961
Single Family Residential,3515 Doc Berlin Dr,Silver Spring,MD,20906,925000,5,4.5,3946,2015
Condo/Co-op,3910 Doc Berlin Dr #43,Silver Spring,MD,20906,400000,2,2,1150,2016
Single Family Residential,212 Beaumont Rd,Silver Spring,MD,20904,675000,4,3,3010,1964
Single Family Residential,11516 Highview Ave,Silver Spring,MD,20902,750000,4,2,1301,1951
Condo/Co-op,15115 Interlachen Dr Unit 3-206,Silver Spring,MD,20906,199000,2,2,980,1984
Single Family Residential,3704 Kayson St,Silver Spring,MD,20906,599999,5,3,2050,1955
Single Family Residential,2113 Plyers Mill Rd,Silver Spring,MD,20902,549900,3,2,1100,1946
Single Family Residential,917 Dale Dr,Silver Spring,MD,20910,749000,3,2,1472,1954
Condo/Co-op,8005 13th St #408,Silver Spring,MD,20910,410000,2,2,1085,2012
Condo/Co-op,9610 Dewitt Dr Ph 204,Silver Spring,MD,20910,399000,2,1,1006,1925
Single Family Residential,9812 Capitol View Ave,Silver Spring,MD,20910,779000,3,3.5,1798,2000
Condo/Co-op,8830 Piney Branch Rd #701,Silver Spring,MD,20903,165000,3,2,1409,1971
Condo/Co-op,3310 N Leisure World Blvd #1001,Silver Spring,MD,20906,324900,3,2.5,1480,1991
Single Family Residential,7812 Piney Branch Rd,Silver Spring,MD,20910,734900,3,3,2080,1925
Condo/Co-op,3500 Forest Edge Dr Unit 15-3F,Silver Spring,MD,20906,150000,1,1.5,946,1977
Single Family Residential,815 Malta Ln,Silver Spring,MD,20901,540000,3,2.5,1440,1959
Single Family Residential,815 Norwood Rd,Silver Spring,MD,20905,925000,4,2.5,3982,2009
Condo/Co-op,8601 Manchester Rd #214,Silver Spring,MD,20901,175000,1,1,690,1958
Townhouse,69 Ellsworth Heights St,Silver Spring,MD,20910,925000,3,3.5,2214,2016
Townhouse,12619 Macaulay St,Silver Spring,MD,20906,639400,3,4,2620,2017
Single Family Residential,8203 Greenwood Ave,Takoma Park,MD,20912,700000,3,3,2333,1937
Single Family Residential,8909 Glenville Rd,Silver Spring,MD,20901,529000,5,3,2128,1948
Condo/Co-op,15310 Pine Orchard Dr Unit 84-2G,Silver Spring,MD,20906,199900,2,2,1136,1978
Single Family Residential,1719 Brisbane St,Silver Spring,MD,20902,649900,5,3,2064,1948
Condo/Co-op,1220 Blair Mill Rd #107,Silver Spring,MD,20910,195000,0,1,525,1968
Single Family Residential,1407 Wheaton Ln,Silver Spring,MD,20902,899000,4,2.5,2100,2024
Condo/Co-op,2904 N Leisure World Blvd #504,Silver Spring,MD,20906,359000,2,2,1473,1997
Single Family Residential,10601 Greenacres Dr,Silver Spring,MD,20903,1275000,5,4.5,4652,2023
Condo/Co-op,3200 N Leisure World Blvd #118,Silver Spring,MD,20906,399000,2,2,1315,2003
Single Family Residential,2017 Glenallan Ave,Silver Spring,MD,20902,752000,5,3.5,3520,2001
Condo/Co-op,3200 N Leisure World Blvd #312,Silver Spring,MD,20906,319900,2,2,1260,2003
Townhouse,3489 S Leisure World Blvd Unit 81-F,Silver Spring,MD,20906,219000,2,2.5,1600,1967
Condo/Co-op,3210 N Leisure World Blvd #407,Silver Spring,MD,20906,350000,2,2,1315,2001
Single Family Residential,13401 Clifton Rd,Silver Spring,MD,20904,559900,4,2,1936,1951
Single Family Residential,2101 Plyers Mill Rd,Silver Spring,MD,20902,735000,4,2.5,2426,1947
Single Family Residential,10019 Pratt Pl,Silver Spring,MD,20910,625000,4,3,1574,1986
Single Family Residential,4004 Sampson Rd,Silver Spring,MD,20906,635000,5,3.5,2526,1946
Condo/Co-op,605 Hudson Ave #218,Takoma Park,MD,20912,250000,1,1,767,1986
Condo/Co-op,9610 Dewitt Dr Unit B312,Silver Spring,MD,20910,499500,3,2.5,1639,1900
Single Family Residential,8206 Grubb Rd,Chevy Chase,MD,20815,1699000,6,4,6275,2024
Townhouse,3347 S Leisure World Blvd Unit 96-H,Silver Spring,MD,20906,199900,2,2.5,1770,1967
Townhouse,13924 Tabiona Dr,Silver Spring,MD,20906,380000,3,1.5,1860,1984
Condo/Co-op,15111 Glade Dr Unit 12-2F,Silver Spring,MD,20906,175000,1,1.5,1020,1977
Townhouse,11459 Encore Dr,Silver Spring,MD,20901,504900,3,2.5,1456,1985
Single Family Residential,3303 Janet Rd,Silver Spring,MD,20906,465000,3,1,1050,1949
Condo/Co-op,9820 Georgia Ave Unit 21-302,Silver Spring,MD,20902,159000,1,1,772,1974
Single Family Residential,1116 Briggs Chaney Rd,Silver Spring,MD,20905,954900,5,4,3440,1959
Condo/Co-op,605 Hudson Ave #322,Takoma Park,MD,20912,240000,1,1,767,1982
Single Family Residential,8426 Piney Branch Rd,Silver Spring,MD,20901,3800000,3,1.5,3856,1943
Single Family Residential,12913 Layhill Rd,Silver Spring,MD,20906,699900,5,3,2594,1963
